id,name,value,percentage
1,新疆维吾尔自治区,1664897,16.66%
2,西藏自治区,1220000,12.71%
3,内蒙古自治区,1183000,12.32%
4,青海省,721000,7.50%
5,四川省,488000,5.08%
6,黑龙江省,469000,4.88%
7,甘肃省,454430,4.69%
8,云南省,394000,4.10%
9,广西壮族自治区,236700,2.46%
10,湖南省,211829,2.19%
11,陕西省,205800,2.14%
12,河北省,190000,1.98%
13,吉林省,187400,1.95%
14,湖北省,185900,1.94%
15,广东省,179800,1.87%
16,贵州省,176000,1.83%
17,河南省,167000,1.74%
18,江西省,166900,1.74%
19,山东省,157126,1.64%
20,山西省,156700,1.63%
21,辽宁省,148000,1.52%
22,安徽省,139427,1.45%
23,福建省,124000,1.29%
24,浙江省,104141,1.08%
25,江苏省,102658,1.07%
26,重庆市,82400,0.85%
27,宁夏回族自治区,66400,0.69%
28,台湾省,36000,0.37%
29,海南省,35354,0.37%
30,北京市,16411,0.17%
31,天津市,11920,0.12%
32,上海市,6340.50,0.07%
33,香港特别行政区,1105.70,0.01%
34,澳门特别行政区,30.5,0.00%
